##############################################################################
## Directory: \ML - Machine learning                                        ##
##############################################################################
GIT_9202.ZIP  101858 01-06-93 Paper: A Theory of Questions and Question Asking
GIT_9203.ZIP  139117 01-13-93 Paper: Incremental Learning of Explanatory Cases
GIT_9204.ZIP   93479 01-17-93 Paper: The Use of Goals to Guide Learning
GIT_9219.ZIP   61843 01-17-93 Paper: Introspective Reasoning/Meta-Explanations
------------------------------------------------------------------------------
-- Machine Learning Digest ---------------------------------------------------
------------------------------------------------------------------------------
MLD1_01.ZIP     4614 06-27-92 Machine Learning Digest Volume 1 Issue 01
MLD1_02.ZIP     4944 06-27-92 Machine Learning Digest Volume 1 Issue 02
MLD1_03.ZIP     5697 06-27-92 Machine Learning Digest Volume 1 Issue 03
MLD1_04.ZIP     4127 06-27-92 Machine Learning Digest Volume 1 Issue 04
MLD1_05.ZIP     2832 06-27-92 Machine Learning Digest Volume 1 Issue 05
MLD1_06.ZIP     6628 06-27-92 Machine Learning Digest Volume 1 Issue 06
MLD1_07.ZIP     3946 06-27-92 Machine Learning Digest Volume 1 Issue 07
MLD1_08.ZIP     2497 06-27-92 Machine Learning Digest Volume 1 Issue 08
MLD1_09.ZIP     5458 06-27-92 Machine Learning Digest Volume 1 Issue 09
MLD1_10.ZIP     5423 06-27-92 Machine Learning Digest Volume 1 Issue 10
MLD1_11.ZIP     3113 06-27-92 Machine Learning Digest Volume 1 Issue 11
MLD1_12.ZIP    16853 06-27-92 Machine Learning Digest Volume 1 Issue 12
MLD1_13.ZIP     5006 06-27-92 Machine Learning Digest Volume 1 Issue 13
MLD1_14.ZIP     9056 06-27-92 Machine Learning Digest Volume 1 Issue 14
MLD1_15.ZIP     4309 06-27-92 Machine Learning Digest Volume 1 Issue 15
------------------------------------------------------------------------------
MLD2_01.ZIP     3680 06-28-92 Machine Learning Digest Volume 2 Issue 01
MLD2_02.ZIP     4915 06-28-92 Machine Learning Digest Volume 2 Issue 02
MLD2_03.ZIP     3662 06-28-92 Machine Learning Digest Volume 2 Issue 03
MLD2_04.ZIP     3928 06-28-92 Machine Learning Digest Volume 2 Issue 04
MLD2_05.ZIP     7995 06-28-92 Machine Learning Digest Volume 2 Issue 05
MLD2_06.ZIP     2243 06-28-92 Machine Learning Digest Volume 2 Issue 06
MLD2_07.ZIP     3413 06-28-92 Machine Learning Digest Volume 2 Issue 07
MLD2_08.ZIP     3353 06-28-92 Machine Learning Digest Volume 2 Issue 08
MLD2_09.ZIP    10952 06-28-92 Machine Learning Digest Volume 2 Issue 09
MLD2_10.ZIP     4595 06-28-92 Machine Learning Digest Volume 2 Issue 10
MLD2_11.ZIP     9830 06-28-92 Machine Learning Digest Volume 2 Issue 11
MLD2_12.ZIP     7133 06-28-92 Machine Learning Digest Volume 2 Issue 12
MLD2_13.ZIP    11202 06-28-92 Machine Learning Digest Volume 2 Issue 13
MLD2_14.ZIP     4853 06-28-92 Machine Learning Digest Volume 2 Issue 14
MLD2_15.ZIP     4324 06-28-92 Machine Learning Digest Volume 2 Issue 15
MLD2_16.ZIP     5982 06-28-92 Machine Learning Digest Volume 2 Issue 16
MLD2_17.ZIP     2787 06-28-92 Machine Learning Digest Volume 2 Issue 17
MLD2_18.ZIP     5162 06-28-92 Machine Learning Digest Volume 2 Issue 18
MLD2_19.ZIP     7479 06-28-92 Machine Learning Digest Volume 2 Issue 19
MLD2_20.ZIP     7888 06-28-92 Machine Learning Digest Volume 2 Issue 20
MLD2_21.ZIP     4280 06-28-92 Machine Learning Digest Volume 2 Issue 21
MLD2_22.ZIP     4441 06-28-92 Machine Learning Digest Volume 2 Issue 22
MLD2_23.ZIP     2419 06-28-92 Machine Learning Digest Volume 2 Issue 23
------------------------------------------------------------------------------
MLD3_02.ZIP     5412 06-28-92 Machine Learning Digest Volume 3 Issue 02
MLD3_03.ZIP     4237 06-28-92 Machine Learning Digest Volume 3 Issue 03
MLD3_04.ZIP     8896 06-28-92 Machine Learning Digest Volume 3 Issue 04
MLD3_05.ZIP     3317 06-28-92 Machine Learning Digest Volume 3 Issue 05
MLD3_06.ZIP     7011 06-28-92 Machine Learning Digest Volume 3 Issue 06
MLD3_07.ZIP     4932 06-28-92 Machine Learning Digest Volume 3 Issue 07
MLD3_08.ZIP    21425 06-28-92 Machine Learning Digest Volume 3 Issue 08
MLD3_09.ZIP     2942 06-28-92 Machine Learning Digest Volume 3 Issue 09
MLD3_10.ZIP    22088 06-28-92 Machine Learning Digest Volume 3 Issue 10
MLD3_11.ZIP     6855 06-28-92 Machine Learning Digest Volume 3 Issue 11
MLD3_12.ZIP     9064 06-28-92 Machine Learning Digest Volume 3 Issue 12
MLD3_13.ZIP     9414 06-28-92 Machine Learning Digest Volume 3 Issue 13
